Last name,First name,PID,State,District,Chamber,Twitter Handle,Total 112th Tweets,,
McCollum, Betty,D,MN,4,U S  House, BettyMcCollum04,1414,,
McConnell, Mitch,R,KY,,U S  Senate, McConnellPress,943,,
McCotter, Thaddeus,R,MI,11,U S  House,,0,,
McDermott, Jim,D,WA,7,U S  House,  RepJimMcDermott,947,,
McGovern, Jim,D,MA,2,U S  House, RepMcGovern,776,,
McHenry, Patrick T ,R,NC,10,U S  House, PatrickMcHenry,648,,
McIntyre, Mike,D,NC,7,U S  House, RepMikeMcIntyre,917,,
McKeon, Howard P  “Buck”,R,CA,25,U S  House, BuckMcKeon,737,,
McKinley, David B ,R,WV,1,U S  House, RepMcKinley,626,,
McMorris Rodgers, Cathy,R,WA,5,U S  House, cathymcmorris,1619,,
McNerney, Jerry,D,CA,9,U S  House, RepMcNerney,238,,
Meehan, Patrick,R,PA,7,U S  House, RepMeehan,495,,
Meeks, Gregory W ,D,NY,5,U S  House, GregoryMeeks,771,,
Menendez, Robert,D,NJ,,U S  Senate, SenatorMenendez,1484,,
Merkley, Jeff,D,OR,,U S  Senate,  SenJeffMerkley,614,,
Mica, John L ,R,FL,7,U S  House, RepJohnMica (Private),0,,
Michaud, Michael H ,D,ME,2,U S  House,  RepMikeMichaud,204,,
Mikulski, Barbara A ,D,MD,,U S  Senate,  SenatorBarb,1316,,
Miller, Jeff,R,FL,1,U S  House,  RepJeffMiller,0,,
Miller, Gary G ,R,CA,31,U S  House, RepGaryMiller,54,,
Miller, Candice S ,R,MI,10,U S  House, CandiceMiller,167,,
Miller, Brad,D,NC,13,U S  House, askgeorge,390,,
Miller, George,D,CA,11,U S  House, RepBradMiller,751,,
Moore, Gwen,D,WI,4,U S  House, RepGwenMoore,981,,
Moran, James P ,D,VA,8,U S  House, Jim_Moran,497,,
Moran, Jerry,R,KS,,U S  Senate, JerryMoran,848,,
Mulvaney, Mick,R,SC,5,U S  House, RepMickMulvaney,432,,
Murkowski, Lisa,R,AK,,U S  Senate, lisamurkowski,1123,,
Murphy,Christopher S ,D,CT,5,U S  House, ChrisMurphyCT,326,,
Murphy, Tim,R,PA,18,U S  House, RepTimMurphy,504,,
Murray, Patty,D,WA,,U S  Senate,  PattyMurray,0,,
Myrick, Sue,R,NC,9,U S  House,  SueMyrick,0,,
Nadler, Jerrold,D,NY,10,U S  House, RepJerryNadler,234,,
Napolitano, Grace F ,D,CA,32,U S  House, gracenapolitano,519,,
Neal, Richard E ,D,MA,1,U S  House, RepRichardNeal,134,,
Nelson, Ben,D,NE,,U S  Senate,,0,,
Nelson, Bill,D,FL,,U S  Senate, SenBillNelson,120,,
Neugebauer, Randy,R,TX,19,U S  House, RandyNeugebauer,1299,,
Noem, Kristi,R,SD,1,U S  House, RepKristiNoem,393,,
Nugent, Rich,R,FL,5,U S  House, RepRichNugent,64,,
Nunes, Devin,R,CA,22,U S  House,  DevinNunes,0,,
Nunnelee, Alan,R,MS,1,U S  House, RepAlanNunnelee,633,,
Olson, Pete,R,TX,22,U S  House, PeteOlson,101,,
Olver, John W ,D,MA,1,U S  House,  RepJohnOlver,0,,
Owens, Bill,D,NY,21,U S  House,BillOwensNY,1580,,
Palazzo, Steven M ,R,MS,4,U S  House, CongPalazzo,511,,
Pallone, Frank,D,NJ,6,U S  House,FrankPallone,1441,,
Pascrell, Bill,D,NJ,9,U S  House,BillPascrell,307,,
Pastor, Ed,D,AZ,7,U S  House,,0,,
Paul, Ron,R,TX,14,U S  House, RepRonPaul,268,,
Paul, Rand,R,KY,,U S  Senate, SenRandPaul,665,,
Paulsen, Erik,R,MN,3,U S  House, RepErikPaulsen,707,,
Payne, Donald M ,D,NJ,10,U S  House,Payne10thNJ,7,,
Payne Jr , Donald M ,D,NJ,10,U S  House,  RepDonaldPayne,0,,
Pearce, Steve,R,NM,2,U S  House, RepStevePearce,860,,
Pelosi, Nancy,D,CA,12,U S  House,NancyPelosi,984,,
Pence, Mike,R,IN,6,U S  House,  RepMikePence,0,,
Perlmutter, Ed,D,CO,7,U S  House,RepPerlmutter,304,,
Peters, Gary,D,MI,14,U S  House,RepGaryPeters,874,,
Peterson, Colin C ,D,MN,7,U S  House,,0,,
Petri, Tom,R,WI,6,U S  House,NTA,0,,
Pingree, Chellie,D,ME,1,U S  House,chelliepingree,219,,
Pitts, Joe,R,PA,16,U S  House, RepJoePitts,336,,
Platts, Todd R ,R,PA,19,U S  House,NTA,0,,
Poe, Ted,R,TX,2,U S  House, JudgeTedPoe,1055,,
Polis, Jared,D,CO,2,U S  House,jaredpolis,1235,,
Pompeo, Mike,R,KS,4,U S  House, RepMikePompeo,772,,
Portman, Rob,R,OH,,U S  Senate, robportman,1489,,
Posey, Bill,R,FL,8,U S  House, congbillposey,158,,
Price, David E ,D,NC,4,U S  House, RepDavidEPrice,645,,
Price, Tom,R,GA,6,U S  House, RepTomPrice,1440,,
Pryor,Mark,D,AR,,U S  Senate,SenMarkPryor,593,,
Quayle, Ben,R,AZ,3,U S  House, benquayle,833,,
Quigley, Mike,D,IL,5,U S  House,RepMikeQuigley,753,,
Rahall, Nick J ,D,WV,3,U S  House,RepNickRahall,0,,
